"age","gender_concept_id","care_site_id","value_as_number","frequency"
22,8507,101,97,3
22,8507,101,99,5
22,8507,101,101,7
22,8507,101,103,10
22,8507,101,105,13
22,8507,101,106,16
22,8507,101,107,20
22,8507,101,108,16
22,8507,101,109,13
22,8507,101,111,10
22,8507,101,113,7
22,8507,101,115,5
22,8507,101,117,3
22,8507,102,97,4
22,8507,102,99,6
22,8507,102,101,8
22,8507,102,103,11
22,8507,102,105,14
22,8507,102,106,17
22,8507,102,107,21
22,8507,102,108,17
22,8507,102,109,14
22,8507,102,111,11
22,8507,102,113,8
22,8507,102,115,6
22,8507,102,117,4
22,8507,103,98,3
22,8507,103,100,5
22,8507,103,102,7
22,8507,103,104,10
22,8507,103,106,13
22,8507,103,107,16
22,8507,103,108,20
22,8507,103,109,16
22,8507,103,110,13
22,8507,103,112,10
22,8507,103,114,7
22,8507,103,116,5
22,8507,103,118,3
22,8532,101,94,3
22,8532,101,96,5
22,8532,101,98,7
22,8532,101,100,10
22,8532,101,102,13
22,8532,101,103,16
22,8532,101,104,20
22,8532,101,105,16
22,8532,101,106,13
22,8532,101,108,10
22,8532,101,110,7
22,8532,101,112,5
22,8532,101,114,3
22,8532,102,94,4
22,8532,102,96,6
22,8532,102,98,8
22,8532,102,100,11
22,8532,102,102,14
22,8532,102,103,17
22,8532,102,104,21
22,8532,102,105,17
22,8532,102,106,14
22,8532,102,108,11
22,8532,102,110,8
22,8532,102,112,6
22,8532,102,114,4
22,8532,103,95,3
22,8532,103,97,5
22,8532,103,99,7
22,8532,103,101,10
22,8532,103,103,13
22,8532,103,104,16
22,8532,103,105,20
22,8532,103,106,16
22,8532,103,107,13
22,8532,103,109,10
22,8532,103,111,7
22,8532,103,113,5
22,8532,103,115,3
24,8532,101,142,2
24,8532,102,144,1
25,8507,103,260,1
28,8507,101,98,3
28,8507,101,100,5
28,8507,101,102,7
28,8507,101,104,10
28,8507,101,106,13
28,8507,101,107,16
28,8507,101,108,20
28,8507,101,109,16
28,8507,101,110,13
28,8507,101,112,10
28,8507,101,114,7
28,8507,101,116,5
28,8507,101,118,3
28,8507,102,98,4
28,8507,102,100,6
28,8507,102,102,8
28,8507,102,104,11
28,8507,102,106,14
28,8507,102,107,17
28,8507,102,108,21
28,8507,102,109,17
28,8507,102,110,14
28,8507,102,112,11
28,8507,102,114,8
28,8507,102,116,6
28,8507,102,118,4
28,8507,103,99,3
28,8507,103,101,5
28,8507,103,103,7
28,8507,103,105,10
28,8507,103,107,13
28,8507,103,108,16
